repo,focal_method,test_method,missed_branches,total_branches,missed_lines,total_lines,branch_coverage,line_coverage
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###isNumber,test00,719,729,1486,1504,0.013717421124828532,0.011968085106382979
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###isNumber,test01,721,729,1492,1504,0.010973936899862825,0.007978723404255319
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###isNumber,test24,721,729,1489,1504,0.010973936899862825,0.00997340425531915
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###isNumber,test25,721,729,1492,1504,0.010973936899862825,0.007978723404255319
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###isNumber,test26,718,729,1486,1504,0.015089163237311385,0.011968085106382979
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###isNumber,test27,723,729,1493,1504,0.00823045267489712,0.007313829787234043
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###isNumber,test28,718,729,1486,1504,0.015089163237311385,0.011968085106382979
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###isNumber,test29,724,729,1493,1504,0.006858710562414266,0.007313829787234043
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###randomNumber,test03,724,729,1491,1504,0.006858710562414266,0.008643617021276596
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###randomNumber,test09,723,729,1490,1504,0.00823045267489712,0.009308510638297872
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###randomNumber,test10,725,729,1494,1504,0.0054869684499314125,0.006648936170212766
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###randomAlphabetic,test04,724,729,1491,1504,0.006858710562414266,0.008643617021276596
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###randomAlphabetic,test11,722,729,1489,1504,0.009602194787379973,0.00997340425531915
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###randomAlphabetic,test12,725,729,1494,1504,0.0054869684499314125,0.006648936170212766
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###random,test05,724,729,1491,1504,0.006858710562414266,0.008643617021276596
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###random,test13,724,729,1492,1504,0.006858710562414266,0.007978723404255319
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###random,test14,725,729,1494,1504,0.0054869684499314125,0.006648936170212766
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###random,test15,724,729,1492,1504,0.006858710562414266,0.007978723404255319
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###random,test30,723,729,1490,1504,0.00823045267489712,0.009308510638297872
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###fromReader,test06,723,729,1488,1504,0.00823045267489712,0.010638297872340425
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###fromReader,test16,725,729,1492,1504,0.0054869684499314125,0.007978723404255319
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###fromReader,test17,725,729,1494,1504,0.0054869684499314125,0.006648936170212766
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###fromReader,test18,724,729,1489,1504,0.006858710562414266,0.00997340425531915
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###fromReader,test23,724,729,1490,1504,0.006858710562414266,0.009308510638297872
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###fromReader,test07,724,729,1488,1504,0.006858710562414266,0.010638297872340425
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###fromReader,test19,725,729,1492,1504,0.0054869684499314125,0.007978723404255319
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###fromReader,test20,725,729,1492,1504,0.0054869684499314125,0.007978723404255319
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/Strings.java###fromReader,test33,723,729,1487,1504,0.00823045267489712,0.011303191489361703
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###unescape,test01,721,729,1409,1504,0.010973936899862825,0.06316489361702128
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###unescape,test05,721,729,1415,1504,0.010973936899862825,0.059175531914893616
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###unescape,test06,726,729,1420,1504,0.00411522633744856,0.05585106382978723
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###unescape,test15,717,729,1406,1504,0.01646090534979424,0.06515957446808511
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###unescape,test19,724,729,1413,1504,0.006858710562414266,0.06050531914893617
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test01,721,729,1409,1504,0.010973936899862825,0.06316489361702128
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test02,723,729,1412,1504,0.00823045267489712,0.061170212765957445
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test05,721,729,1415,1504,0.010973936899862825,0.059175531914893616
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test06,726,729,1420,1504,0.00411522633744856,0.05585106382978723
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test09,717,729,1403,1504,0.01646090534979424,0.06715425531914894
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test10,726,729,1424,1504,0.00411522633744856,0.05319148936170213
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test15,717,729,1406,1504,0.01646090534979424,0.06515957446808511
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test16,718,729,1404,1504,0.015089163237311385,0.06648936170212766
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test17,717,729,1399,1504,0.01646090534979424,0.06981382978723404
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test19,724,729,1413,1504,0.006858710562414266,0.06050531914893617
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test00,722,729,1416,1504,0.009602194787379973,0.05851063829787234
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test03,723,729,1417,1504,0.00823045267489712,0.05784574468085106
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test04,723,729,1419,1504,0.00823045267489712,0.05651595744680851
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test07,719,729,1409,1504,0.013717421124828532,0.06316489361702128
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test08,720,729,1412,1504,0.012345679012345678,0.061170212765957445
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test11,721,729,1413,1504,0.010973936899862825,0.06050531914893617
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test12,716,729,1405,1504,0.01783264746227709,0.06582446808510638
Zappos_zappos-json,Zappos_zappos-json/src/main/java/com/zappos/json/util/JsonUtils.java###escape,test13,718,729,1408,1504,0.015089163237311385,0.06382978723404255
